RMSE,MAE,MAX,PCC,CCC,SNR,ROI,Video
1.379804011296368,1.1276633522727273,3.171875,0.8873611041540342,0.8007321481197461,9.685016310576236,holistic_median,from-0.5-to-4-alpha-25-level-2-chromAtn-0.5
1.4269976540614029,1.2140447443181819,3.171875,0.8946066417010458,0.7897385793483473,2.6795806927662906,patches_median,from-0.5-to-4-alpha-25-level-2-chromAtn-0.5
1.4471813569402467,1.2029474431818181,3.171875,0.8954606053493743,0.7838723294949413,2.6795806927662906,patches_clustering,from-0.5-to-4-alpha-25-level-2-chromAtn-0.5
18.63385205934664,10.225615530303031,72.5546875,-0.30762971967318153,-0.06971337341534463,1.0526705652856352,holistic_median,from-0.5-to-4-alpha-25-level-2-chromAtn-0
2.62666888119989,1.9843454071969697,7.384765625,0.45558531569521765,0.43268728226057657,-0.1535680994504329,patches_median,from-0.5-to-4-alpha-25-level-2-chromAtn-0
1.7151813039246384,1.4893465909090908,3.509765625,0.7977303514044362,0.7197739007965592,-0.1535680994504329,patches_clustering,from-0.5-to-4-alpha-25-level-2-chromAtn-0
1.392142714840142,1.1363636363636365,3.171875,0.8911264844749808,0.8018918363652193,9.398262464638913,holistic_median,from-0.5-to-4-alpha-25-level-2-chromAtn-1
1.4120648520692078,1.2065281723484849,3.171875,0.9041370560710944,0.7930954306700733,2.2696686107100863,patches_median,from-0.5-to-4-alpha-25-level-2-chromAtn-1
1.4613253990739279,1.2554450757575757,3.171875,0.883894348174404,0.7766060604600677,2.2696686107100863,patches_clustering,from-0.5-to-4-alpha-25-level-2-chromAtn-1
1.3932632394587476,1.10546875,3.171875,0.8888394526353055,0.7988995030445848,9.32296416976235,holistic_median,from-0.5-to-4-alpha-25-level-4-chromAtn-0.5
1.3350598651511107,1.0943714488636365,3.171875,0.8931906269674355,0.810760516409484,3.881617770953612,patches_median,from-0.5-to-4-alpha-25-level-4-chromAtn-0.5
1.425664211741062,1.1585582386363635,3.171875,0.8953228723395275,0.7943490137612192,3.881617770953612,patches_clustering,from-0.5-to-4-alpha-25-level-4-chromAtn-0.5
16.400428830931162,7.386600378787879,77.87890625,-0.02685215990788865,-0.006733819387344566,0.22522848372869758,holistic_median,from-0.5-to-4-alpha-25-level-4-chromAtn-0
2.4154268610231346,1.856149384469697,5.6015625,0.8116083225270853,0.6184547357661674,-1.0750441539637519,patches_median,from-0.5-to-4-alpha-25-level-4-chromAtn-0
1.574584028204145,1.3430397727272727,3.171875,0.813822938816519,0.7456165400642721,-1.0750441539637519,patches_clustering,from-0.5-to-4-alpha-25-level-4-chromAtn-0
1.404882229530299,1.1379024621212122,3.171875,0.885576556930662,0.7962177590556287,9.666990330725005,holistic_median,from-0.5-to-4-alpha-25-level-4-chromAtn-1
1.4225403673553587,1.2065281723484849,3.171875,0.8997990579220292,0.7882280589196142,3.4882890862045866,patches_median,from-0.5-to-4-alpha-25-level-4-chromAtn-1
1.3758083100920389,1.1141690340909092,3.171875,0.8985502521520792,0.8032637541036856,3.4882890862045866,patches_clustering,from-0.5-to-4-alpha-25-level-4-chromAtn-1
,,,,,,holistic_median,from-0.5-to-4-alpha-25-level-6-chromAtn-0.5
,,,,,,patches_median,from-0.5-to-4-alpha-25-level-6-chromAtn-0.5
,,,,,,patches_clustering,from-0.5-to-4-alpha-25-level-6-chromAtn-0.5
28.20379413575303,10.008108428030303,105.2109375,0.343247760543829,0.0465034649724115,1.5622283024431178,holistic_median,from-0.5-to-4-alpha-25-level-6-chromAtn-0
